"token","embedding1","embedding2","embedding3","embedding4","embedding5","embedding6","embedding7","embedding8","embedding9","embedding10","embedding11","embedding12","embedding13","embedding14","embedding15","embedding16","embedding17","embedding18","embedding19","embedding20","embedding21","embedding22","embedding23","embedding24","embedding25","embedding26","embedding27","embedding28","embedding29","embedding30","embedding31","embedding32"
"<input>","0.56495726","0.885498","-0.4976993","-0.81648993","0.35085773","-0.594582","0.3742533","-0.4586617","0.1540358","-0.76103854","-0.5789025","-0.46200478","-0.6364835","0.4395884","-0.48584685","0.69284403","-0.701754","-0.25871113","0.13088174","-0.90580827","0.76641285","-0.67578095","-0.5587736","-0.369926","0.25275502","0.3370365","-0.2933594","0.30693257","-0.8227244","-0.31437144","0.6705258","0.14392324"
"</input>","-0.47511554","-0.79001653","-0.73913527","0.27975145","-0.27099356","-0.8328299","0.4368823","-0.10460543","-0.51540107","0.6817159","0.7233258","0.101134375","-0.20388329","0.5955626","-0.21686144","0.6780824","0.92457354","-0.17799127","1.0529029","0.8008267","-0.7708142","-0.25665852","-0.33035105","0.38586095","-0.48090053","0.7402338","0.47221145","-0.19338176","0.30053797","0.9683774","0.008952393","-0.9446974"
"<context>","-0.30280152","-0.67350435","-0.6542866","-0.20614186","-0.63800925","0.44948933","-0.08312748","-0.4461826","0.51714885","-0.24294485","0.3493809","0.94312024","-0.86916494","0.17195544","-0.73569655","0.6900451","-0.53537476","0.39057282","-0.44123286","0.70056766","0.5072071","0.16798222","-0.57566583","0.75511384","-0.5988463","-0.85384697","-0.015876532","0.25608918","-0.8125548","-0.064483605","-0.018424818","-0.44600993"
"</context>","-0.3695364","-0.21308674","-0.41866004","-0.8538752","0.63313067","0.7547712","0.056813333","0.767575","-0.42510062","-0.7349571","0.052601233","-0.24440666","0.5375287","0.18335351","-0.29621908","-0.90817285","-0.44800162","0.531799","0.59782434","-0.22554633","0.16083623","-0.53352576","-0.2753384","0.22446412","0.82529974","0.03698709","-0.6340415","0.6814165","0.95690185","-0.557484","-0.2901082","-0.24922666"
"<output>","0.74560916","0.5593824","-0.5179321","0.95827806","0.511045","0.4084438","0.57897097","-0.4851571","0.40589663","-0.33649266","-0.11125234","-0.5243294","-0.66940594","-0.87155974","-0.01728149","-0.54573697","-0.039915286","0.56524414","0.23594369","-0.5026617","-0.4800554","0.47388005","0.21065888","-0.8785261","-0.7800147","-1.2522268","0.7848309","0.07958668","-0.86433595","-0.46150476","-0.60082525","-0.37581825"
"this","0.14186902","0.20064269","-0.17503071","-0.076623864","0.38648286","0.44234","0.010136778","0.20454298","-0.33109757","-0.2083055","-0.31483552","-0.1336003","-0.19234489","0.1890013","-0.04323509","-0.10525398","0.033370033","-0.33025327","-0.045541342","-0.10239855","-0.064291984","-0.1457771","0.35477623","-0.13520858","-0.017825255","0.045991678","-0.004013847","0.2399943","-0.22925302","-0.39214027","0.19530323","0.1670692"
"textbook","0.18315735","0.20801423","0.22546808","0.17567721","-0.08250728","0.016343882","-0.20549877","-0.07821196","0.1455635","0.31912106","0.057358254","-0.17014508","0.1471997","-0.17693867","0.16014288","-0.19248237","-0.014818882","0.119516395","0.06936236","0.09069816","-0.011891465","0.109481186","-0.13539393","-0.02372682","0.1529461","-0.045844093","-0.13700682","-0.2867164","0.030860623","0.09670526","-0.28846955","0.04845646"
"on","0.0810657","-0.08356017","0.19045602","0.10740819","0.03930963","-0.236631","0.34680608","-0.118339986","-0.053256616","0.28876472","-0.37822005","-0.13230331","-0.10412823","-0.38553098","0.15833211","0.22811458","-0.34322754","-0.30173573","-0.3405876","-0.35703474","0.13658352","-0.327105","0.10430246","-0.28201854","0.18592304","-0.08378401","-0.16573177","0.41012928","-0.12572037","0.002776026","-0.3274381","-0.14452974"
"political","0.1700068","0.05916956","-0.23879412","-0.41084713","0.2652269","0.025883235","0.13190581","0.113894895","0.45536909","-0.16927989","0.66129094","0.41190544","-0.23337309","0.16105312","0.39678654","-0.29237384","-0.29841846","0.22617427","0.40281367","0.45948637","-0.12376294","-0.17350422","-0.17103468","0.66794777","-0.36193043","0.025492074","-0.32514393","0.12436957","-0.19408676","0.19443004","0.22866555","0.14963697"
"economy","-0.31200662","-0.31606215","0.053767413","-0.010882879","-0.049453206","-0.35919487","-0.15340601","0.1267119","-0.74915576","0.2154936","-0.5665818","-0.046720758","0.18821923","0.1936892","-0.411846","0.5334649","0.5911032","-0.4400874","-0.56072927","-0.36436638","-0.37594008","0.12000991","0.3076277","-0.25617808","0.35865596","0.6598536","0.15709236","-0.0038617123","0.64661944","0.083209656","0.007087427","-0.3107335"
"prepared","0.39327884","0.56228465","0.39888155","-0.4141514","0.5638819","0.48960665","-0.7468512","0.11175675","-0.08888007","0.5978097","-0.30730355","-0.5634063","0.2791277","-0.27201778","-0.5919621","0.15868418","-0.04639227","0.30091497","-0.54731303","-0.19225335","0.62777376","0.46511024","-0.53887993","0.15351458","0.17854923","-0.33586663","-0.035742164","-0.25205553","0.18803361","-0.054625724","-0.50966233","-0.28212875"
"by","-0.027895682","0.32226196","0.16927615","-0.019102868","0.29009885","0.08736966","-0.5143006","0.14529178","-0.52490747","-0.30483603","0.13055827","-0.12852646","-0.08148425","0.2509709","0.21201631","-0.22397609","0.06995094","-0.14458342","0.084489144","0.23992117","-0.04259761","-0.21329826","0.26311693","0.20989963","0.16352718","0.2539658","0.07150351","-0.2800372","0.09740183","-0.2723035","0.09204034","0.28081626"
"the","0.550868","0.24641","0.022768073","0.312329","-0.43849674","0.24528994","0.24904628","-0.30432817","0.3449719","-0.4215974","-0.09377593","-0.34379646","-0.50402665","-0.32649946","0.65428317","-0.11200648","-0.59132123","0.33009264","0.30379596","0.20043696","0.15760005","-0.3958068","-0.071538895","-0.30042568","-0.45919642","-0.39808866","0.16351311","0.31298527","-0.36071864","-0.1923363","0.2608","-0.06998656"
"economics","0.4208685","-0.02312523","-0.7153707","0.27688268","0.31932247","0.21960267","0.523206","0.017132187","0.45729998","0.37937665","-0.2691984","0.028873613","-0.01871141","-0.02753784","-0.39547992","-0.1407919","0.20056374","-0.09437542","0.33336985","-0.21466267","-0.64306647","0.2628641","-0.09599304","0.23930012","-0.23476802","-0.3427718","-0.27479506","0.2862078","-0.38428584","0.24425314","-0.2639249","-0.77163017"
"institute","-0.4219164","-0.11692918","0.09746163","-0.4815931","0.17083107","-0.12545606","-0.3418812","0.101697795","-0.6785031","-0.512176","0.4401746","0.50060815","0.20955466","0.39022127","0.36754182","-0.23422943","-0.063374765","0.051909268","0.2816455","0.35579443","0.2516187","-0.30189303","0.2174415","0.02184306","0.09907778","0.32658148","0.17898268","-0.4138332","0.41659808","-0.24506018","0.5871253","0.10694327"
"of","0.25486395","0.4144387","-0.074261695","0.2557795","-0.3553589","0.04388845","-0.13890047","-0.44758675","-0.5368154","-0.63034266","-0.16733597","-0.486614","-0.36327413","0.1284811","0.42860568","-0.38164234","-0.6260592","0.5692121","0.5232959","0.49627733","0.14698857","-0.29450637","-0.3352252","0.003823196","0.12610967","-0.15527512","0.13779978","-0.3703755","-0.14145976","-0.46597233","0.2760263","0.0000642363"
"academy","0.04697018","-0.18081029","0.068843074","0.2541886","0.19495064","-0.034327146","0.005906093","-0.116081394","-0.035248633","0.56506187","-0.2535715","-0.42349434","0.034288894","-0.21668923","0.068171486","0.051238175","-0.24475256","-0.11536764","-0.15664591","-0.3347724","-0.033777338","0.088268116","-0.27882513","-0.2917933","0.07372485","-0.06133892","-0.1930725","0.02206497","0.09416395","0.30441162","-0.32197297","0.30323145"
"sciences","-0.05218938","0.5730584","0.075983115","0.061017103","0.22470944","0.19919509","-0.24075374","0.31241113","-0.6779012","-0.6017806","-0.05063929","-0.013335994","-0.5060358","0.017787013","-0.01810604","-0.26568174","0.061120756","0.091178805","0.30467823","0.49672103","0.14308229","0.14491747","0.31690866","0.24941757","-0.0599992","-0.02126604","0.41511923","-0.38483253","0.056348782","-0.5320303","0.17210811","-0.18963252"
"u","-0.10378864","0.12448441","0.20647083","-0.45285997","0.15772069","-0.06884137","-0.10764983","0.40979666","-0.14940977","-0.39084688","-0.11362732","0.5243323","0.048660792","0.12911798","0.43846488","0.077553645","0.41280025","-0.19149622","-0.66850424","0.23203117","0.41587028","-0.05141859","0.25906894","-0.16162547","-0.14436568","0.4665222","0.2684676","0.17852703","0.3612072","0.3440115","-0.067006595","-0.07073115"
"s","-0.19370326","-0.073050275","-0.2404181","0.5398256","-0.50021935","0.14725758","0.0070643304","-0.5221562","0.39142305","-0.32606816","-0.12590589","-0.28194362","-0.4539895","-0.27570432","0.1789951","0.34602934","-0.37257525","0.19577172","0.57738286","-0.29286724","-0.009705131","0.1034233","-0.23378842","-0.43535063","0.35282323","-0.3370499","0.2343413","0.08726027","-0.4370222","-0.47917667","0.059204243","0.46580672"
"r","0.059823528","0.25993377","0.004099742","-0.30686536","0.42207378","-0.16647518","-0.051899273","0.2959711","-0.78788584","0.10744019","0.24664478","0.020494658","-0.13283028","0.04753193","-0.5545969","-0.1831937","0.14884536","-0.28837866","-0.17862593","0.28651938","-0.40997425","-0.40777633","0.37116978","0.65632606","0.00842594","0.033624772","-0.16451898","-0.14820626","0.15341015","-0.33919108","-0.13081115","-0.42354208"
